,date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
44,2019-12-10,67.15,67.12,67.52,66.47,90529532,268.6,268.48,270.07,265.86,22632383,0.39,0.5844,"Dec 10, 19",0.196435
45,2019-12-11,67.2,67.69,67.78,67.13,78893564,268.81,270.77,271.1,268.5,19723391,0.5700000000000001,0.8529,"Dec 11, 19",0.20664000000000002
46,2019-12-12,66.95,67.87,68.14,66.83,137748168,267.78,271.46,272.56,267.32,34437042,0.17,0.2548,"Dec 12, 19",0.20971499999999998
47,2019-12-13,67.87,68.79,68.83,67.73,133731224,271.46,275.15,275.3,270.93,33432806,0.92,1.3593,"Dec 13, 19",0.226159
48,2019-12-16,69.25,69.97,70.2,69.25,128324420,277.0,279.86,280.79,276.98,32081105,1.18,1.7118,"Dec 16, 19",0.24714799999999998
49,2019-12-17,69.89,70.1,70.44,69.7,114303192,279.57,280.41,281.77,278.8,28575798,0.14,0.1965,"Dec 17, 19",0.249599
50,2019-12-18,69.95,69.94,70.48,69.78,116098748,279.8,279.74,281.9,279.12,29024687,-0.17,-0.2389,"Dec 18, 19",0.246613
51,2019-12-19,69.88,70.01,70.3,69.74,98507788,279.5,280.02,281.18,278.95,24626947,0.07,0.10010000000000001,"Dec 19, 19",0.247861
52,2019-12-20,70.56,69.86,70.66,69.64,276130972,282.23,279.44,282.65,278.56,69032743,-0.14,-0.2071,"Dec 20, 19",0.245276
53,2019-12-23,70.13,71.0,71.06,70.09,98711532,280.53,284.0,284.25,280.37,24677883,1.1400000000000001,1.6318000000000001,"Dec 23, 19",0.26559699999999997
54,2019-12-24,71.17,71.07,71.22,70.73,48478856,284.69,284.27,284.89,282.92,12119714,0.07,0.0951,"Dec 24, 19",0.26680000000000004
55,2019-12-26,71.21,72.48,72.5,71.18,93336016,284.82,289.91,289.98,284.7,23334004,1.4100000000000001,1.984,"Dec 26, 19",0.29193399999999997
56,2019-12-27,72.78,72.45,73.49,72.03,146371744,291.12,289.8,293.97,288.12,36592936,-0.03,-0.0379,"Dec 27, 19",0.291444
